"chapter","question","choice1","choice2","choice3","choice4","answer","explanation","explanation1","explanation2","explanation3","explanation4"
"1章：AI","転移学習について、以下の選択肢から適切なものを選べ。","新しいタスクごとにパラメータを初期化して一から学習する手法","既存タスクで獲得した知識を別の関連タスクに応用する手法","複数タスクを同時に学習し、相互の特徴を活用する手法","モデルの層を動的に変更して最適化する手法","2","転移学習は、すでに学習済みのモデルの知識を新たな関連タスクに転用することで、少量のデータでも高い性能を発揮する技術です。","① 新規タスクごとに一から学習するのはゼロからの学習です。","② 正解。既存の知識を活用するのが転移学習の本質です。","③ これはマルチタスク学習に近い考え方ですが、転移学習とは区別されます。","④ 層の動的変更は定義に含まれません。"
"1章：AI","過学習について、以下の選択肢から適切なものを選べ。","訓練データを部分的に忘れてしまう現象","訓練データとテストデータ間の性能差が縮まる現象","訓練データに過度に適合し、未知データでの汎化性能が低下する現象","学習が全く進まず性能が停滞する現象","3","過学習は、モデルが訓練データのノイズまで学習してしまい、新しいデータに対して正確な予測ができなくなる現象です。","① 部分的な忘却は起こりません。","② 性能差が縮まるのは理想的な状態です。","③ 正解。過学習は汎化性能の低下を招きます。","④ 学習停滞は別の問題です。"
"1章：AI","ドロップアウトについて、以下の選択肢から適切なものを選べ。","学習率の更新方法","一定確率でニューロンを無効化し、過学習を抑制する技術","ネットワークの層をランダムに削除する技術","入力データの一部をランダムに除去する技術","2","ドロップアウトは、学習時に各ニューロンを一定の確率で無効化することで、特定のニューロンへの依存を避け、過学習を抑制する正則化手法です。","① 学習率の更新とは無関係です。","② 正解。ニューロン無効化が特徴です。","③ 層全体を削除するのは誤りです。","④ 入力除去は別の手法です。"
"1章：AI","正則化について、以下の選択肢から適切なものを選べ。","データの前処理技術","学習率を最適化する手法","モデルの複雑さを抑制し、過学習を防ぐ手法","ネットワークの層を削減する手法","3","正則化は、パラメータにペナルティを課すなどしてモデルの複雑さを制御し、過学習を防ぐ技術です。","① 前処理とは異なります。","② 学習率最適化は別の技術です。","③ 正解。モデルの複雑性を制御するのが目的です。","④ 層削減はアーキテクチャの変更です。"
"1章：AI","情報の重み付けについて、以下の選択肢から適切なものを選べ。","入力データの各要素に均一な重みを与える処理","入力データに対し、重要度に応じた重みを付与する処理","データのスケーリングを行う処理","データのノイズを除去する処理","2","情報の重み付けは、各入力の重要性に基づいて重み（係数）を割り当け、モデルが重要な情報に注力できるようにする処理です。","① 均一な重み付けでは情報の違いが反映されません。","② 正解。入力の重要度に応じた重み付けが本質です。","③ 不正解：これは『正規化』と呼ばれる、データのスケーリング処理です。正規化は各データの値を一定の範囲に収める前処理であり、重み付けとは目的が異なります。","④ ノイズ除去は別の前処理です。"
"1章：AI","重みについて、以下の選択肢から適切なものを選べ。","入力信号の強さを調整するための固定パラメータ","データの前処理に用いる統計量","ニューラルネットワーク内で各接続の影響度を調整するパラメータ","ネットワーク出力を決定するための閾値","3","重みは、ニューラルネットワークにおいて各接続がどの程度入力を伝達するかを決定する学習可能なパラメータです。","① 固定パラメータではなく、学習で更新されます。","② 統計量とは異なります。","③ 正解。各接続の影響度を動的に調整します。","④ 閾値はバイアス項と区別されます。"
"1章：AI","ディープラーニングについて、以下の選択肢から適切なものを選べ。","複数層からなるニューラルネットワークを用いる機械学習手法","単一層でシンプルなパターン認識を行う手法","ルールベースのアルゴリズムに基づく手法","伝統的な統計解析に基づく手法","1","ディープラーニングは、複数の層を持つニューラルネットワークを用いて自動的に特徴を抽出し、複雑なパターンを学習する手法です。","① 正解。多層構造が特徴です。","② 単層ではディープラーニングとは呼べません。","③ 不正解：これは『ルールベース』システムの説明です。ルールベースはあらかじめ定義されたif-thenルールに従って動作するのに対し、ディープラーニングは大量データから自動で特徴を学習します。","④ 統計解析は従来の手法であり、ディープラーニングとは異なります。"
"1章：AI","ニューラルネットワークについて、以下の選択肢から適切なものを選べ。","人間の脳の構造を模倣した計算モデル","データの単純な統計的解析を行う手法","複数のニューロンで構成され、情報の伝達と変換を行う計算モデル","ルールに基づく推論システム","3","ニューラルネットワークは、入力層・隠れ層・出力層から構成され、学習を通じてパラメータ（重み）が自動調整される計算モデルです。","① 脳の構造の模倣という側面はありますが、学習機構が重要です。","② 統計解析手法とは異なります。","③ 正解。多数のニューロンが情報を処理します。","④ 不正解：これは『ルールベース』システムの説明です。ルールベースは人手で定義された規則に基づくのに対し、ニューラルネットワークはデータに基づく学習で動作します。"
"1章：AI","人工ニューロン(ノード)について、以下の選択肢から適切なものを選べ。","入力を受け取り、重み付けと活性化関数で出力を生成する基本計算ユニット","データの保存や伝達を行うユニット","ネットワーク内でパラメータ更新を担当するユニット","外部からの信号を単に伝達するユニット","1","人工ニューロンは、入力信号に対して重みを掛け、活性化関数を通して出力を生成するニューラルネットワークの基本単位です。","① 正解。基本的な計算機能を果たします。","② 保存や伝達は行いません。","③ パラメータ更新は学習アルゴリズムが行います。","④ 単なる信号伝達ではありません。"
"1章：AI","シナプスについて、以下の選択肢から適切なものを選べ。","ニューロン間の接続部で、信号伝達強度を調整する役割を持つ","ニューロン内部の情報処理部位","入力信号を選別するフィルタ機能","出力信号生成の主要部位","1","シナプスは、ニューロン間の接続部分であり、伝達される信号の強度を調整する重みとして機能します。","① 正解。接続部としての役割が本質です。","② ニューロン内部の処理とは異なります。","③ フィルタ機能とは言えません。","④ 出力生成自体はニューロンの役割です。"
